leiden_resolution_1.5_C11,AIFI_L1,AIFI_L1_Final,AIFI_L2,AIFI_L2_Final,AIFI_L3,AIFI_L3_Final
0,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
1,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
2,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
3,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
4,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
5,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
6,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
7,T cells,Yes,MAIT,Yes,MAIT CD4,Yes
8,T cells,Yes,gdT,No,gdT,No
9,T cells,Yes,MAIT,Yes,"MAIT HBB+ ",Yes
10,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
11,T cells,Yes,MAIT,Yes,MAIT ISG+,Yes
12,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
13,T cells,Yes,MAIT,Yes,MAIT CD8,Yes
14,T cells,Yes,MAIT,Yes,MAIT CD8,Yes